City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Bajos De Haina,DO,84.0,scattered clouds,18.42,-70.03,Cerámica Lugo
510,Jeremie,HT,81.21,light rain,18.65,-74.12,Auberge Inn
517,Diffa,NE,83.91,broken clouds,13.32,12.61,ProDAF/Diffa
522,Lucea,JM,84.2,thunderstorm,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
539,Kieta,PG,84.15,light rain,-6.22,155.63,
544,Shenjiamen,CN,78.37,light rain,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
545,Katherine,AU,80.6,clear sky,-14.47,132.27,Pine Tree Motel
546,Tall Kayf,TR,84.2,clear sky,37.08,41.07,
549,Gacko,BA,78.8,scattered clouds,43.17,18.54,Hotel Metohija
550,Moussoro,TD,84.06,broken clouds,13.64,16.49,Pharmacie alnadja Moussoro
551,Morant Bay,JM,86.0,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
