City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
115,Billings,US,2020-07-06 22:31:56,30,45.78,-108.5,84.2,40,9.69
116,Kaitangata,NZ,2020-07-06 22:36:49,78,-46.28,169.85,46.0,100,13.0
117,Garowe,SO,2020-07-06 22:36:49,59,8.41,48.48,78.39,37,25.55
118,Port Elizabeth,ZA,2020-07-06 22:36:49,72,-33.92,25.57,60.8,0,18.34
119,Kavieng,PG,2020-07-06 22:36:49,72,-2.57,150.8,84.7,42,13.87
120,Busselton,AU,2020-07-06 22:36:49,70,-33.65,115.33,55.0,47,13.65
121,Esperance,AU,2020-07-06 22:36:50,81,-33.87,121.9,50.0,0,12.75
122,Verkhneuralsk,RU,2020-07-06 22:36:50,93,53.88,59.21,62.6,75,6.71
123,Norman Wells,CA,2020-07-06 22:36:50,66,65.28,-126.83,55.4,75,12.75
124,Arraial Do Cabo,BR,2020-07-06 22:36:50,88,-22.97,-42.03,71.6,0,3.36
125,Arica,CL,2020-07-06 22:36:50,77,-18.48,-70.3,60.8,90,5.82
126,Ilulissat,GL,2020-07-06 22:36:50,75,69.22,-51.1,46.4,98,4.7
127,Adrar,MR,2020-07-06 22:36:51,17,20.5,-10.07,96.17,0,8.9
128,Hambantota,LK,2020-07-06 22:36:51,94,6.12,81.12,78.8,20,6.93
129,Tiksi,RU,2020-07-06 22:36:51,91,71.69,128.87,36.61,100,3.56
130,Vila Velha,BR,2020-07-06 22:34:29,83,-20.33,-40.29,73.4,0,3.36
131,Kaseda,JP,2020-07-06 22:36:51,88,31.42,130.32,80.6,75,13.87
132,Coihaique,CL,2020-07-06 22:36:51,80,-45.58,-72.07,33.8,75,3.36
133,Severo-Kurilsk,RU,2020-07-06 22:36:52,78,50.68,156.12,54.84,34,7.65
134,Yellowknife,CA,2020-07-06 22:36:52,42,62.46,-114.35,66.2,75,21.92
135,Batemans Bay,AU,2020-07-06 22:36:52,94,-35.72,150.18,53.01,3,2.91
136,Hovd,MN,2020-07-06 22:36:52,56,48.01,91.64,61.36,10,2.57
137,College,US,2020-07-06 22:36:52,60,64.86,-147.8,70.0,75,4.7
138,Nyurba,RU,2020-07-06 22:36:52,82,63.28,118.33,54.05,16,3.6
139,Mbalmayo,CM,2020-07-06 22:33:05,94,3.52,11.5,71.6,75,3.36
140,Sitka,US,2020-07-06 22:36:52,76,57.05,-135.33,57.2,40,9.17
141,Goldsboro,US,2020-07-06 22:36:53,62,35.38,-77.99,87.8,20,8.05
142,Gilbues,BR,2020-07-06 22:36:53,44,-9.83,-45.34,72.86,0,3.87
143,Hasaki,JP,2020-07-06 22:36:53,78,35.73,140.83,82.4,75,13.87
144,Tasiilaq,GL,2020-07-06 22:36:53,80,65.61,-37.64,41.0,22,10.29
145,Hobart,AU,2020-07-06 22:36:53,86,-42.88,147.33,43.0,75,6.93
146,Bairiki,KI,2020-07-06 22:36:53,74,1.33,172.98,86.0,20,10.29
147,Narsaq,GL,2020-07-06 22:36:53,66,60.92,-46.05,48.2,99,9.17
148,Constantine,DZ,2020-07-06 22:32:28,82,36.37,6.61,64.4,20,2.24
149,Northam,GB,2020-07-06 22:36:54,93,51.03,-4.22,57.0,2,3.0
150,Richards Bay,ZA,2020-07-06 22:36:54,40,-28.78,32.04,66.61,0,15.77
151,Salalah,OM,2020-07-06 22:36:54,78,17.02,54.09,82.4,40,4.7
152,Nuuk,GL,2020-07-06 22:36:54,87,64.18,-51.72,42.8,100,31.09
153,Carnarvon,AU,2020-07-06 22:36:54,76,-24.87,113.63,55.4,0,9.17
154,Namibe,AO,2020-07-06 22:36:55,81,-15.2,12.15,67.66,0,5.3
155,Korla,CN,2020-07-06 22:36:55,27,41.76,86.15,74.37,0,5.21
