City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
102,Kodiak,US,57.79,-152.41,53.6,93,90,3.36,moderate rain,0.0,0.0
103,Kibre Mengist,ET,5.88,38.98,57.42,91,100,4.32,light rain,0.0,0.0
104,San Quintin,MX,30.48,-115.95,68.88,73,0,10.38,clear sky,0.0,0.0
105,Bhan,PK,26.56,67.72,96.85,38,98,6.58,overcast clouds,0.0,0.0
106,Khandyga,RU,62.67,135.6,74.68,40,7,1.92,light rain,0.0,0.0
107,Dalbandin,PK,28.89,64.41,88.57,30,0,5.35,clear sky,0.0,0.0
108,Bilibino,RU,68.05,166.44,61.23,42,95,5.26,overcast clouds,0.0,0.0
109,Taos,US,36.41,-105.57,77.0,29,1,11.41,clear sky,0.0,0.0
110,Karla,EE,59.37,24.93,57.99,87,33,9.17,scattered clouds,0.0,0.0
111,Sassandra,CI,4.95,-6.08,73.78,88,100,6.38,overcast clouds,0.0,0.0
112,Arona,ES,28.1,-16.68,77.0,88,0,8.05,clear sky,0.0,0.0
113,Mantua,IT,45.17,10.78,71.01,84,30,8.99,scattered clouds,0.0,0.0
114,Cape Town,ZA,-33.93,18.42,57.0,66,75,5.82,broken clouds,0.0,0.0
115,Bereda,ES,43.27,-7.54,59.0,97,80,11.99,broken clouds,0.0,0.0
116,San Patricio,MX,19.22,-104.7,86.0,79,40,11.41,scattered clouds,0.0,0.0
117,Boyolangu,ID,-8.12,111.89,80.65,74,79,9.4,broken clouds,0.0,0.0
118,Galich,RU,58.38,42.35,69.1,82,0,5.86,clear sky,0.0,0.0
119,Santa Cruz,BO,-17.8,-63.17,62.6,72,75,6.93,broken clouds,0.0,0.0
120,Urumqi,CN,43.8,87.6,71.6,60,100,11.18,overcast clouds,0.0,0.0
121,Aripuana,BR,-9.17,-60.63,75.27,63,6,1.57,clear sky,0.0,0.0
122,San Cristobal,VE,7.77,-72.22,66.06,79,70,1.01,broken clouds,0.0,0.0
123,Salalah,OM,17.02,54.09,82.4,83,90,3.36,overcast clouds,0.0,0.0
124,Del Rio,US,29.36,-100.9,96.8,32,1,11.41,clear sky,0.0,0.0
125,East London,ZA,-33.02,27.91,59.0,67,44,25.28,scattered clouds,0.0,0.0
126,Itarema,BR,-2.92,-39.92,75.67,90,47,7.11,scattered clouds,0.0,0.0
127,Coquimbo,CL,-29.95,-71.34,53.6,87,93,3.36,overcast clouds,0.0,0.0
128,Chuy,UY,-33.7,-53.46,45.55,85,94,5.17,overcast clouds,0.0,0.0
129,Caravelas,BR,-17.71,-39.25,70.83,91,7,3.13,clear sky,0.0,0.0
130,Avarua,CK,-21.21,-159.78,73.4,78,97,14.99,overcast clouds,0.0,0.0
131,Novopavlovka,RU,51.22,109.21,84.27,23,0,4.36,clear sky,0.0,0.0
132,Bandarbeyla,SO,9.49,50.81,80.6,58,1,27.81,clear sky,0.0,0.0
133,Muli,MV,2.92,73.57,84.09,69,100,8.95,overcast clouds,0.0,0.0
134,Kaeo,NZ,-35.1,173.78,59.0,18,7,13.0,clear sky,0.0,0.0
135,Kaitangata,NZ,-46.28,169.85,46.99,73,97,11.01,overcast clouds,0.0,0.0
136,Potosi,BO,-19.58,-65.75,38.82,68,0,4.29,clear sky,0.0,0.0
137,Bredasdorp,ZA,-34.53,20.04,55.4,76,52,9.17,broken clouds,0.0,0.0
138,Uige,AO,-7.61,15.06,58.26,75,70,2.64,broken clouds,0.0,0.0
139,Banepa,NP,27.63,85.52,73.4,88,75,2.24,broken clouds,0.0,0.0
140,Upernavik,GL,72.79,-56.15,42.13,70,93,9.78,overcast clouds,0.0,0.0
141,Aasiaat,GL,68.71,-52.87,39.76,89,99,6.76,overcast clouds,0.0,0.0
142,Katobu,ID,-4.94,122.53,81.45,82,28,7.99,moderate rain,0.0,0.0
143,Chipinge,ZW,-20.19,32.62,47.34,58,0,2.39,clear sky,0.0,0.0
144,Hirara,JP,24.8,125.28,91.4,70,75,20.8,broken clouds,0.0,0.0
145,Palatka,US,29.65,-81.64,75.99,94,90,4.7,overcast clouds,0.0,0.0
146,Hasaki,JP,35.73,140.83,84.2,74,75,20.8,broken clouds,0.0,0.0
147,Impfondo,CG,1.64,18.07,70.23,89,85,1.36,overcast clouds,0.0,0.0
148,Port Hardy,CA,50.7,-127.42,59.0,72,90,8.05,overcast clouds,0.0,0.0
149,Nalut,LY,30.33,10.85,70.47,44,0,8.08,clear sky,0.0,0.0
150,Cabo San Lucas,MX,22.89,-109.91,91.4,54,40,13.87,scattered clouds,0.0,0.0
151,Hamilton,US,39.18,-84.53,73.0,94,1,4.7,mist,0.0,0.0
152,Arica,CL,-18.48,-70.3,56.57,80,31,3.47,scattered clouds,0.0,0.0
153,Baherden,TM,38.44,57.43,85.87,15,0,4.5,clear sky,0.0,0.0
154,Lebu,CL,-37.62,-73.65,43.65,74,78,5.53,broken clouds,0.0,0.0
155,Korla,CN,41.76,86.15,85.51,18,99,4.92,overcast clouds,0.0,0.0
156,Nikolskoye,RU,59.7,30.79,61.0,82,74,2.24,broken clouds,0.0,0.0
